CVR Nummer,Navn,Kommune Navn
33296029,Grundejerforeningen Konge-åsen,SLAGELSE
28511736,Vinklubbens Venner,SLAGELSE
73007712,HK-KOMM KLUB                      V/EGON ANDERSEN                   RÅDHUSET,SLAGELSE
31794994,Solskinstroppen,SLAGELSE
35177582,Maglehavens Nyttehaver,SLAGELSE
35266151,SF Slagelse,SLAGELSE
39024543,Eiland Elinstallation Slagelse ApS,SLAGELSE
17017381,ART'N'DRAW                        V/PIA CLAUSEN,SLAGELSE
38206206,BD CAPITAL IVS,SLAGELSE
38206494,Deshasta Consulting IVS,SLAGELSE
20045086,ApS KBUS 8 NR. 4582,SLAGELSE
21181706,PANI INVEST ApS,SLAGELSE
40170340,ChokoLotte,SLAGELSE
72396553,GÅRDEJER JØRGEN FRANDSEN,SLAGELSE
26123690,NYBOLIG SLAGELSE A/S,SLAGELSE
25615816,Advokatfirmaet Søren Dybdahl Andersen,SLAGELSE
34471061,BONUSHUSET.DK ApS,SLAGELSE
33023561,Dansk Røde Kors - Skælskør Afdeling,SLAGELSE
30253329,PBU Korsør,SLAGELSE
31789680,Vemmelev Fodboldklub,SLAGELSE
32758444,Andelsboligforeningen Baghuset,SLAGELSE
12389515,Sønderup Menighedsråd,SLAGELSE
53488412,HAVREBJERG FORSAMLINGSHUS,SLAGELSE
27478522,BRIMA HOLDING ApS,SLAGELSE
32799884,Slagelse In-Line Klub,SLAGELSE
37506443,Pedersens,SLAGELSE
20901942,LYNGE CONSULT                     V/NIELS LYNGE,SLAGELSE
38709739,Eyes For You,SLAGELSE
33799683,Picnickoncerter i Slagelse Lystanlæg,SLAGELSE
35582487,LC 87 Slagelse,SLAGELSE
28969511,R.K. EJENDOMME HOLDING ApS,SLAGELSE
21247979,F. SCHUBERT'S CAFETERIA           V/FLEMMING SCHUBERT,SLAGELSE
32813550,Andelsboligforeningen Mosevænget,SLAGELSE
35816615,GDR HELGE CHRISTIANSEN,SLAGELSE
25180771,Marktrans                         V/Mark Hulstrøm,SLAGELSE
34926646,phcmontage,SLAGELSE
35553061,Vestsjællands Akvarie- og Terrarieklub,SLAGELSE
26602521,Columbus Rejser                   v/Qussama El-Jaji,SLAGELSE
28920881,Timmerman Consult v/Søren Timmermand,SLAGELSE
25502221,Ejendommen Tjørne Alle 12 v/Thomas Schultz,SLAGELSE
27842119,Danish Electronic Importer v/ Mike Kilbæk,SLAGELSE
29770883,DISSING & JALLER ApS,SLAGELSE
40514406,DJ JustJonas,SLAGELSE
35946152,Hvidevare Konsulenten,SLAGELSE
37572578,Byens Blikkenslager v/Martin Philipsen,SLAGELSE
17643932,COMPUTERCAFEEN SLAGELSE           V/HENRIK OLSEN,SLAGELSE
29286760,Jeanette Anastasia Rasmussen,SLAGELSE
34737088,KMS RENGØRING ApS,SLAGELSE
18614448,PSYKOLOGHUSET                     V/PIA CHRISTIANSEN,SLAGELSE
30164067,Klinik for fodterapi/Trine Nielsen,SLAGELSE
33850492,Frisør Mono Joan v/Joan Juul Christensen,SLAGELSE
33537441,Skørpinge Landsbylaug,SLAGELSE
37960039,Liljecafeen,SLAGELSE
28016247,Slagelse Bog & Ide v/Jannik Stagaard,SLAGELSE
25313534,Bp Byg V/Benni Pedersen,SLAGELSE
35978003,Slagelse figur og hobby forening,SLAGELSE
28717490,FTI - IMEX ApS,SLAGELSE
27370551,Dorthe Harder Petersen,SLAGELSE
32803822,Andelsboligforeningen Plantagen,SLAGELSE
35625712,RHM-BYG,SLAGELSE
34910456,Exmilvagt,SLAGELSE
30216008,Slagelse Basketball Klub,SLAGELSE
25797981,SLAGELSE KOMMUNES NETSELSKAB A/S,SLAGELSE
36496533,JOINT EFFORTS HOLDING ApS,SLAGELSE
31983258,Fadi Mohamad Ahmad,SLAGELSE
34627193,MY-INVEST ApS UNDER STIFTELSE,SLAGELSE
26351596,Ejerforeningen Schweizerplads 5,SLAGELSE
37326143,Slagelse Sport & Ungdom (SSU),SLAGELSE
16523836,MUSKETEREN ANTVORSKOV KASERNE,SLAGELSE
31553334,Syd-Vestsjællands Jagtforening,SLAGELSE
32756190,Foreningen af lejlighedsejere Chr. Gave 2A-2D,SLAGELSE
39367777,Rolighed Andersen Holding ApS,SLAGELSE
35150897,"Ejerforeningen Slotsgade 8, 4200 Slagelse",SLAGELSE
33006292,Ejerforeningen Rytterstaldstræde 3,SLAGELSE
34977348,Ejerlauget Søndervang Beboerforening,SLAGELSE
35966099,Spred dine vinger,SLAGELSE
36263881,Grundejerforeningen matr.nr. 5 n 5 h Landsgrav,SLAGELSE
33330472,Grundejerforeningen Christiansgave,SLAGELSE
32055044,Rosted beboerforening,SLAGELSE
10247896,LÆGE OLE WINKEL,SLAGELSE
29142173,TØMRERMESTER HENRIK HJORT HARBOE HOLDING ApS,SLAGELSE
20653272,H. JUL. FJERRING HOLDING A/S,SLAGELSE
18364107,Gp Korrektur                      v/Gitte Buhr,SLAGELSE
34658064,Støtteforening for Tårnborg-Vemmelevs sportssvømmere,SLAGELSE
11442412,ANDELSSELSKABET                   KELSTRUP-NÆSBY STRAND             VANDFORSYNING,SLAGELSE
