,cvr_nummer,navn,kommune_navn,antal_ansatte
354,38254731,Sooperlooper,SLAGELSE,0.0
355,39359898,Frost I/S,SLAGELSE,
356,28360304,Holberg Byg v/Anders Holberg Petersen,SLAGELSE,0.0
357,36566760,Sealand Security / SLS Vagt,SLAGELSE,0.0
358,17785648,K J MASKINSERVICE V/KELD JESPERSEN,SLAGELSE,1.0
359,37693626,Gold4life IVS,SLAGELSE,
360,33344961,Andelsboligforeningen Mølleager ll,SLAGELSE,
361,34593868,DRSS HOLDING ApS,SLAGELSE,
362,32750761,"Sct. Georgs Gilde, 1. Skælskør",SLAGELSE,
363,31843707,Veteran Motorcyklens Venner,SLAGELSE,
364,20686413,GUDUM MENIGHEDSRÅD                V/EJVIND HANSEN,SLAGELSE,3.0
365,29916896,KRISTINELUND HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,SLAGELSE,0.0
366,36367075,Kobæk Nørrestrand Grundejerforening,SLAGELSE,
367,30412583,A/B Svalen,SLAGELSE,
368,33620705,Hyllested Landsbyråd,SLAGELSE,
369,38881515,Korsør Bykontor,SLAGELSE,0.0
370,31351561,SortSjov v/Nicolai Sørensen,SLAGELSE,0.0
371,28963491,V 2014,SLAGELSE,
372,35625216,Grundejerforeningen matr. 1 dn Antvorskov Hovedgård Slagelse,SLAGELSE,
373,30920074,HØNG X ApS,SLAGELSE,0.0
374,32923399,Grundejerforeningen Randersvej,SLAGELSE,
375,32755305,Andelsboligforeningen Mølleparken,SLAGELSE,
376,53488617,KIRKE STILLINGE FORSAMLINGSHUS,SLAGELSE,
377,38188925,Rasmus Kjær Rasmussen Holding ApS,SLAGELSE,
378,33296029,Grundejerforeningen Konge-åsen,SLAGELSE,
379,28511736,Vinklubbens Venner,SLAGELSE,
380,73007712,HK-KOMM KLUB                      V/EGON ANDERSEN                   RÅDHUSET,SLAGELSE,0.0
381,31794994,Solskinstroppen,SLAGELSE,
382,35177582,Maglehavens Nyttehaver,SLAGELSE,
383,35266151,SF Slagelse,SLAGELSE,
384,39024543,Eiland Elinstallation Slagelse ApS,SLAGELSE,
385,17017381,ART'N'DRAW                        V/PIA CLAUSEN,SLAGELSE,0.0
386,20045086,ApS KBUS 8 NR. 4582,SLAGELSE,
